path,label
raw_ai/chatgpt_01.txt,1
raw_ai/chatgpt_02.txt,1
raw_ai/chatgpt_03.txt,1
raw_ai/chatgpt_04.txt,1
raw_ai/chatgpt_05.txt,1
raw_ai/chatgpt_06.txt,1
raw_ai/chatgpt_07.txt,1
raw_ai/chatgpt_08.txt,1
raw_ai/chatgpt_09.txt,1
raw_ai/chatgpt_10.txt,1
raw_ai/chatgpt_11.txt,1
raw_ai/chatgpt_12.txt,1
raw_ai/chatgpt_13.txt,1
raw_ai/chatgpt_14.txt,1
raw_ai/chatgpt_15.txt,1
raw_ai/chatgpt_16.txt,1
raw_ai/chatgpt_17.txt,1
raw_ai/chatgpt_18.txt,1
raw_ai/chatgpt_19.txt,1
raw_ai/chatgpt_20.txt,1
raw_ai/chatgpt_21.txt,1
raw_ai/chatgpt_22.txt,1
raw_ai/chatgpt_23.txt,1
raw_ai/chatgpt_24.txt,1
raw_ai/chatgpt_25.txt,1
raw_ai/chatgpt_26.txt,1
raw_ai/chatgpt_27.txt,1
raw_ai/chatgpt_28.txt,1
raw_ai/chatgpt_29.txt,1
raw_ai/chatgpt_30.txt,1
raw_ai/chatgpt_31.txt,1
raw_ai/chatgpt_32.txt,1
raw_ai/chatgpt_33.txt,1
raw_ai/chatgpt_34.txt,1
raw_ai/chatgpt_35.txt,1
raw_ai/chatgpt_36.txt,1
raw_ai/chatgpt_37.txt,1
raw_ai/chatgpt_38.txt,1
raw_ai/chatgpt_39.txt,1
raw_ai/chatgpt_40.txt,1
raw_ai/chatgpt_41.txt,1
raw_ai/chatgpt_42.txt,1
raw_ai/chatgpt_43.txt,1
raw_ai/chatgpt_44.txt,1
raw_ai/chatgpt_45.txt,1
raw_ai/chatgpt_46.txt,1
raw_ai/chatgpt_47.txt,1
raw_ai/chatgpt_48.txt,1
raw_ai/chatgpt_49.txt,1
raw_ai/chatgpt_50.txt,1
raw_ai/claude_01.txt,1
raw_ai/claude_02.txt,1
raw_ai/claude_03.txt,1
raw_ai/claude_04.txt,1
raw_ai/claude_05.txt,1
raw_ai/claude_06.txt,1
raw_ai/claude_07.txt,1
raw_ai/claude_08.txt,1
raw_ai/claude_09.txt,1
raw_ai/claude_10.txt,1
raw_ai/claude_11.txt,1
raw_ai/claude_12.txt,1
raw_ai/claude_13.txt,1
raw_ai/claude_14.txt,1
raw_ai/claude_15.txt,1
raw_ai/claude_16.txt,1
raw_ai/claude_17.txt,1
raw_ai/claude_18.txt,1
raw_ai/claude_19.txt,1
raw_ai/claude_20.txt,1
raw_ai/claude_21.txt,1
raw_ai/claude_22.txt,1
raw_ai/claude_23.txt,1
raw_ai/claude_24.txt,1
raw_ai/claude_25.txt,1
raw_ai/copilot_01.txt,1
raw_ai/copilot_02.txt,1
raw_ai/copilot_03.txt,1
raw_ai/copilot_04.txt,1
raw_ai/copilot_05.txt,1
raw_ai/copilot_06.txt,1
raw_ai/copilot_07.txt,1
raw_ai/copilot_08.txt,1
raw_ai/copilot_09.txt,1
raw_ai/copilot_10.txt,1
raw_ai/copilot_11.txt,1
raw_ai/copilot_12.txt,1
raw_ai/copilot_13.txt,1
raw_ai/copilot_14.txt,1
raw_ai/copilot_15.txt,1
raw_ai/copilot_16.txt,1
raw_ai/copilot_17.txt,1
raw_ai/copilot_18.txt,1
raw_ai/copilot_19.txt,1
raw_ai/copilot_20.txt,1
raw_ai/copilot_21.txt,1
raw_ai/copilot_22.txt,1
raw_ai/copilot_23.txt,1
raw_ai/copilot_24.txt,1
